cust_id;pref;score
0;preferenceItemOneTwoThree;48.15
0;preferenceItemOne;25.93
1;preferenceItemOneTwoThree;50.98
1;preferenceItemOne;23.53
2;preferenceItemOneTwoThree;41.18
2;preferenceItemOne;17.65
3;preferenceItemOneTwoThree;46
3;preferenceItemOne;26
4;preferenceItemOneTwoThree;59.38
4;preferenceItemOne;34.38
5;preferenceItemOneTwoThree;51.61
5;preferenceItemOne;25.81
6;preferenceItemOneTwoThree;54.55
6;preferenceItemOne;30.3
7;preferenceItemOneTwoThree;38.46
7;preferenceItemOne;11.54
8;preferenceItemOneTwoThree;55
8;preferenceItemOne;25
9;preferenceItemOneTwoThree;33.33
9;preferenceItemOne;13.33
10;preferenceItemOneTwoThree;43.48
10;preferenceItemOne;8.7
11;preferenceItemOneTwoThree;28.57
11;preferenceItemOne;10.2
12;preferenceItemOneTwoThree;50
12;preferenceItemOne;35
13;preferenceItemOneTwoThree;28.57
13;preferenceItemOne;14.29
14;preferenceItemOneTwoThree;45.45
14;preferenceItemOne;16.67
15;preferenceItemOneTwoThree;57.69
15;preferenceItemOne;29.49
16;preferenceItemOneTwoThree;47.17
16;preferenceItemOne;22.64
17;preferenceItemOneTwoThree;52.94
17;preferenceItemOne;24.71
18;preferenceItemOneTwoThree;52.46
18;preferenceItemOne;39.34
19;preferenceItemOneTwoThree;78.38
19;preferenceItemOne;43.24
20;preferenceItemOneTwoThree;62.07
20;preferenceItemOne;22.41
21;preferenceItemOneTwoThree;55.38
21;preferenceItemOne;32.31
22;preferenceItemOneTwoThree;63.64
22;preferenceItemOne;38.64
23;preferenceItemOneTwoThree;48.86
23;preferenceItemOne;22.73
24;preferenceItemOneTwoThree;67.21
24;preferenceItemOne;32.79
25;preferenceItemOneTwoThree;30.82
25;preferenceItemOne;5.03
26;preferenceItemOneTwoThree;49.62
26;preferenceItemOne;29.01
27;preferenceItemOneTwoThree;45.28
27;preferenceItemOne;22.64
28;preferenceItemOneTwoThree;47.5
28;preferenceItemOne;25
29;preferenceItemOneTwoThree;47.37
29;preferenceItemOne;10.53
30;preferenceItemOneTwoThree;40.43
30;preferenceItemOne;12.77
31;preferenceItemOneTwoThree;27.78
31;preferenceItemOne;3.33
32;preferenceItemOneTwoThree;41.67
32;preferenceItemOne;27.78
33;preferenceItemOneTwoThree;37.5
33;preferenceItemOne;26.79
34;preferenceItemOneTwoThree;42
34;preferenceItemOne;16
35;preferenceItemOneTwoThree;40
35;preferenceItemOne;12.5
36;preferenceItemOneTwoThree;32.65
36;preferenceItemOne;8.16
37;preferenceItemOneTwoThree;34.78
37;preferenceItemOne;17.39
38;preferenceItemOneTwoThree;32.94
38;preferenceItemOne;12.94
39;preferenceItemOneTwoThree;46.88
39;preferenceItemOne;34.38
40;preferenceItemOneTwoThree;63.64
40;preferenceItemOne;39.39
41;preferenceItemOneTwoThree;38.1
41;preferenceItemOne;17.46
42;preferenceItemOneTwoThree;50
42;preferenceItemOne;25.93
43;preferenceItemOneTwoThree;38.36
43;preferenceItemOne;13.7
44;preferenceItemOneTwoThree;54.1
44;preferenceItemOne;11.48
45;preferenceItemOneTwoThree;43.48
45;preferenceItemOne;21.74
46;preferenceItemOneTwoThree;44.19
46;preferenceItemOne;13.95
47;preferenceItemOneTwoThree;41.03
47;preferenceItemOne;17.95
48;preferenceItemOneTwoThree;65.71
48;preferenceItemOne;37.14
49;preferenceItemOneTwoThree;48.78
49;preferenceItemOne;17.07
50;preferenceItemOneTwoThree;52.17
50;preferenceItemOne;30.43
51;preferenceItemOneTwoThree;38.89
51;preferenceItemOne;19.44
52;preferenceItemOneTwoThree;52.38
52;preferenceItemOne;19.05
53;preferenceItemOneTwoThree;42.31
53;preferenceItemOne;26.92
54;preferenceItemOneTwoThree;52.17
54;preferenceItemOne;17.39
55;preferenceItemOneTwoThree;47.83
55;preferenceItemOne;26.09
56;preferenceItemOneTwoThree;54.55
56;preferenceItemOne;24.24
57;preferenceItemOneTwoThree;59.38
57;preferenceItemOne;15.62
58;preferenceItemOneTwoThree;41.38
58;preferenceItemOne;31.03
59;preferenceItemOneTwoThree;51.72
59;preferenceItemOne;25.86
60;preferenceItemOneTwoThree;50.98
60;preferenceItemOne;23.53
61;preferenceItemOneTwoThree;48.28
61;preferenceItemOne;27.59
62;preferenceItemOneTwoThree;59.38
62;preferenceItemOne;34.38
63;preferenceItemOneTwoThree;45.83
63;preferenceItemOne;20.83
64;preferenceItemOneTwoThree;50
64;preferenceItemOne;23.33
65;preferenceItemOneTwoThree;40
65;preferenceItemOne;12.5
66;preferenceItemOneTwoThree;35.14
66;preferenceItemOne;21.62
67;preferenceItemOneTwoThree;45.45
67;preferenceItemOne;15.15
68;preferenceItemOneTwoThree;47.83
68;preferenceItemOne;26.09
69;preferenceItemOneTwoThree;22.73
69;preferenceItemOne;13.64
70;preferenceItemOneTwoThree;63.64
70;preferenceItemOne;18.18
71;preferenceItemOneTwoThree;40
71;preferenceItemOne;12
72;preferenceItemOneTwoThree;48.15
72;preferenceItemOne;18.52
73;preferenceItemOneTwoThree;34.29
73;preferenceItemOne;22.86
74;preferenceItemOneTwoThree;35.48
74;preferenceItemOne;9.68
75;preferenceItemOneTwoThree;70.59
75;preferenceItemOne;29.41
76;preferenceItemOneTwoThree;87.5
76;preferenceItemOne;75
77;preferenceItemOneTwoThree;55
77;preferenceItemOne;25
78;preferenceItemOneTwoThree;80
78;preferenceItemOne;53.33
79;preferenceItemOneTwoThree;46.15
79;preferenceItemOne;30.77
80;preferenceItemOneTwoThree;47.62
80;preferenceItemOne;19.05
81;preferenceItemOneTwoThree;45.45
81;preferenceItemOne;16.67
82;preferenceItemOneTwoThree;44.3
82;preferenceItemOne;26.58
83;preferenceItemOneTwoThree;52.63
83;preferenceItemOne;18.42
84;preferenceItemOneTwoThree;35.19
84;preferenceItemOne;12.04
85;preferenceItemOneTwoThree;51.69
85;preferenceItemOne;22.47
86;preferenceItemOneTwoThree;47.3
86;preferenceItemOne;17.57
87;preferenceItemOneTwoThree;77.78
87;preferenceItemOne;41.67
88;preferenceItemOneTwoThree;67.8
88;preferenceItemOne;40.68
89;preferenceItemOneTwoThree;42.86
89;preferenceItemOne;21.43
90;preferenceItemOneTwoThree;29.73
90;preferenceItemOne;18.92
91;preferenceItemOneTwoThree;45.71
91;preferenceItemOne;14.29
92;preferenceItemOneTwoThree;34.88
92;preferenceItemOne;25.58
93;preferenceItemOneTwoThree;24.39
93;preferenceItemOne;21.95
94;preferenceItemOneTwoThree;57.14
94;preferenceItemOne;28.57
95;preferenceItemOneTwoThree;63.64
95;preferenceItemOne;33.33
96;preferenceItemOneTwoThree;42.31
96;preferenceItemOne;26.92
97;preferenceItemOneTwoThree;53.49
97;preferenceItemOne;16.28
98;preferenceItemOneTwoThree;44.83
98;preferenceItemOne;17.24
99;preferenceItemOneTwoThree;26.32
99;preferenceItemOne;11.84
100;preferenceItemOneTwoThree;43.75
100;preferenceItemOne;15.62
101;preferenceItemOneTwoThree;44.62
101;preferenceItemOne;16.92
102;preferenceItemOneTwoThree;69.7
102;preferenceItemOne;33.33
103;preferenceItemOneTwoThree;59.26
103;preferenceItemOne;22.22
104;preferenceItemOneTwoThree;58.46
104;preferenceItemOne;27.69
105;preferenceItemOneTwoThree;51.22
105;preferenceItemOne;29.27
106;preferenceItemOneTwoThree;53.66
106;preferenceItemOne;24.39
107;preferenceItemOneTwoThree;34.88
107;preferenceItemOne;18.6
108;preferenceItemOneTwoThree;49.18
108;preferenceItemOne;19.67
109;preferenceItemOneTwoThree;48.98
109;preferenceItemOne;26.53
110;preferenceItemOneTwoThree;50
110;preferenceItemOne;26.32
111;preferenceItemOneTwoThree;50.91
111;preferenceItemOne;25.45
112;preferenceItemOneTwoThree;48.78
112;preferenceItemOne;17.07
113;preferenceItemOneTwoThree;48.39
113;preferenceItemOne;29.03
114;preferenceItemOneTwoThree;64.29
114;preferenceItemOne;32.14
115;preferenceItemOneTwoThree;48.65
115;preferenceItemOne;16.22
116;preferenceItemOneTwoThree;50
116;preferenceItemOne;21.88
117;preferenceItemOneTwoThree;41.94
117;preferenceItemOne;12.9
118;preferenceItemOneTwoThree;54.1
118;preferenceItemOne;11.48
119;preferenceItemOneTwoThree;35.48
119;preferenceItemOne;20.97
120;preferenceItemOneTwoThree;26.09
120;preferenceItemOne;11.59
121;preferenceItemOneTwoThree;44.19
121;preferenceItemOne;13.95
122;preferenceItemOneTwoThree;42.86
122;preferenceItemOne;28.57
123;preferenceItemOneTwoThree;36.67
123;preferenceItemOne;20
124;preferenceItemOneTwoThree;52.78
124;preferenceItemOne;33.33
125;preferenceItemOneTwoThree;62.96
125;preferenceItemOne;48.15
126;preferenceItemOneTwoThree;31.43
126;preferenceItemOne;8.57
127;preferenceItemOneTwoThree;71.05
127;preferenceItemOne;39.47
128;preferenceItemOneTwoThree;53.7
128;preferenceItemOne;25.93
129;preferenceItemOneTwoThree;50
129;preferenceItemOne;25
130;preferenceItemOneTwoThree;70.83
130;preferenceItemOne;62.5
131;preferenceItemOneTwoThree;61.4
131;preferenceItemOne;21.05
132;preferenceItemOneTwoThree;35.9
132;preferenceItemOne;23.08
133;preferenceItemOneTwoThree;50
133;preferenceItemOne;24.36
134;preferenceItemOneTwoThree;50
134;preferenceItemOne;13.64
135;preferenceItemOneTwoThree;35
135;preferenceItemOne;5
136;preferenceItemOneTwoThree;64.29
136;preferenceItemOne;7.14
137;preferenceItemOneTwoThree;44.44
137;preferenceItemOne;22.22
138;preferenceItemOneTwoThree;23.08
138;preferenceItemOne;0
139;preferenceItemOneTwoThree;57.14
139;preferenceItemOne;14.29
140;preferenceItemOneTwoThree;71.43
140;preferenceItemOne;42.86
141;preferenceItemOneTwoThree;61.19
141;preferenceItemOne;28.36
142;preferenceItemOneTwoThree;78.38
142;preferenceItemOne;43.24
143;preferenceItemOneTwoThree;43.75
143;preferenceItemOne;26.25
144;preferenceItemOneTwoThree;72.5
144;preferenceItemOne;50
145;preferenceItemOneTwoThree;48.84
145;preferenceItemOne;32.56
146;preferenceItemOneTwoThree;79.41
146;preferenceItemOne;35.29
147;preferenceItemOneTwoThree;87.18
147;preferenceItemOne;48.72
148;preferenceItemOneTwoThree;56.67
148;preferenceItemOne;40
149;preferenceItemOneTwoThree;67.57
149;preferenceItemOne;40.54
150;preferenceItemOneTwoThree;47.14
150;preferenceItemOne;28.57
151;preferenceItemOneTwoThree;59.79
151;preferenceItemOne;39.68
152;preferenceItemOneTwoThree;72.73
152;preferenceItemOne;58.18
153;preferenceItemOneTwoThree;32.56
153;preferenceItemOne;4.65
154;preferenceItemOneTwoThree;35.14
154;preferenceItemOne;13.51
155;preferenceItemOneTwoThree;54.9
155;preferenceItemOne;23.53
156;preferenceItemOneTwoThree;53.57
156;preferenceItemOne;25
157;preferenceItemOneTwoThree;32.08
157;preferenceItemOne;15.09
158;preferenceItemOneTwoThree;38.3
158;preferenceItemOne;21.28
159;preferenceItemOneTwoThree;50
159;preferenceItemOne;20.97
160;preferenceItemOneTwoThree;41.03
160;preferenceItemOne;12.82
161;preferenceItemOneTwoThree;71.79
161;preferenceItemOne;38.46
