cust_id;model1;model2;boughtItemsTotal;itemOneTotal;itemTwoTotal;itemThreeTotal;Visits2014;itemOneTotal2014;itemTwoTotal2014;itemThreeTotal2014;Visits2013;itemOneTotal2013;itemTwoTotal2013;itemThreeTotal2013;boughtItem_03;boughtItem_02;boughtItem_01;date_lastVisit;daysSinceVisit;boughtItem;numVisitsL1M;numVisitsL3M;numVisitsL6M;numVisits_trendL3M;fractionItemOneL1M;fractionItemOneTwoThreeL1M;fractionItemOneL3M;fractionItemOneTwoThreeL3M;fractionItemOneL6M;fractionItemOneTwoThreeL6M;numItemOne_trendL3M
0;3;190;24;7;4;2;4;2;0;0;20;5;4;2;1;1;d;140412;8;d;1;4;8;1;0;0;0.5;0.5;0.375;0.5;1.333333333
1;1;280;49;12;5;8;2;1;1;0;20;5;2;5;0;2;1;140401;19;2;1;2;7;0.4;1;1;0.5;1;0.285714286;0.714285714;1.75
2;2;254;27;6;6;1;5;1;1;0;15;2;4;1;6;2;6;140409;11;4;2;4;10;0.666666667;0;0.5;0;0.25;0.2;0.6;0
3;0;464;43;12;6;3;7;1;1;1;2;0;0;0;2;1;6;140412;8;0;1;6;10;1.5;0;0;0.166666667;0.5;0.1;0.3;1.666666667
4;6;116;28;11;5;2;7;2;1;1;11;5;1;1;3;1;d;140412;8;3;2;6;7;6;0.5;0.5;0.333333333;0.5;0.285714286;0.571428571;1.166666667
5;1;253;23;6;6;0;5;1;1;0;15;4;4;0;2;6;4;140329;22;6;1;5;8;1.666666667;0;0;0.2;0.4;0.125;0.375;1.6
6;2;217;25;8;1;4;5;2;0;1;15;4;1;3;1;3;0;140329;22;0;1;4;7;1.333333333;0;0;0.25;0.5;0.285714286;0.714285714;0.875
7;3;221;16;3;1;3;6;2;0;1;10;1;1;2;1;1;5;140411;9;6;2;5;10;1;0.5;0.5;0.4;0.6;0.2;0.5;2
8;6;133;13;4;3;1;3;1;1;0;5;1;0;1;0;2;1;140402;18;2;1;3;5;1.5;1;1;0.333333333;0.666666667;0.4;0.6;0.833333333
9;16;43;25;2;2;3;5;1;1;1;6;1;0;0;6;2;5;140329;22;1;1;4;8;1;0;0;0;0.5;0.25;0.5;0
10;3;241;13;1;2;3;2;0;0;1;11;1;2;2;2;d;3;140330;21;3;1;2;6;0.5;0;1;0;0.5;0.166666667;0.5;0
11;1;743;45;5;5;4;6;2;1;0;14;1;0;1;6;2;4;140411;9;0;2;5;9;1.25;0;0.5;0.4;0.6;0.222222222;0.333333333;1.8
12;36;28;12;6;0;0;3;2;0;0;7;4;0;0;6;1;1;140325;26;4;1;3;4;3;1;1;0.666666667;0.666666667;0.5;0.5;1.333333333
13;3;153;20;3;0;3;5;2;0;0;10;1;0;3;1;4;0;140412;8;5;1;4;8;1;0;0;0.5;0.5;0.25;0.375;2
14;2;445;61;10;14;5;3;0;2;0;10;0;2;0;0;str;2;140409;11;5;1;4;5;4;0;1;0;0.5;0;0.4;0
15;13;72;72;22;10;10;2;2;0;0;17;6;1;1;1;str;1;140401;19;0;1;3;3;0;1;1;0.666666667;0.666666667;0.666666667;0.666666667;1
16;7;136;43;9;7;5;6;1;3;0;11;1;0;1;2;1;6;140329;22;d;1;5;6;5;0;0;0.2;0.6;0.166666667;0.666666667;1.2
17;6;113;80;20;15;8;3;0;1;0;15;5;3;2;0;2;0;140405;15;4;2;3;3;0;0;0.5;0;0.333333333;0;0.333333333;0
